delta_lt_Tr,n,mean_next_Y,median_next_Y,mean_X,mean_C
0,1270,269.30712598425197,49.59166666666667,13.662204724409449,0.48216124983488595
1,22022,172.255994005994,20.466666666666665,254.17568794841523,0.40233554410775224
