MAE_hours,RMSE_hours,R2,segment,model
212.2370948798284,454.53537219590066,0.3353999891022511,early,M0
177.63483876205106,456.76612430718876,0.3288605820941025,early,M3
182.02352431691864,454.93540532465835,0.3342296554843419,early,MH
173.13239570226528,454.2648057627853,0.336190972361573,early,MHXC
173.38713630913207,423.2319956069746,0.07587957838362225,late,M0
189.08733865463932,438.62085963304276,0.007455135465340157,late,M3
179.91343504010766,434.8699049923552,0.02435844378522367,late,MH
182.6050264479595,436.4242202676808,0.017371689271830748,late,MHXC
253.666720697657,404.11426905499195,-0.09200621278802035,impact_1.0,M0
243.42067515956356,384.32674176497824,0.012316163567059446,impact_1.0,M3
267.1534960939492,435.3342213894329,-0.26725015992379597,impact_1.0,MH
285.0481527873332,449.6846524856756,-0.3521748985062143,impact_1.0,MHXC
189.8859448386675,413.53814806150365,0.08259657059158632,impact_2.0,M0
176.81799710595908,413.76847769980486,0.08157434786934192,impact_2.0,M3
188.14589580876194,428.5483387009651,0.014789948702356726,impact_2.0,MH
185.7581201653556,429.38925716379475,0.01091970075014348,impact_2.0,MHXC
180.2780302926538,474.86189714455674,0.0541512839366598,impact_3.0,M0
207.90049433308187,503.0402912075729,-0.06143297380813517,impact_3.0,M3
123.61902635968877,481.993151053328,0.02552934278614083,impact_3.0,MH
121.6102698196175,481.46479165838235,0.027664595230568967,impact_3.0,MHXC
