MAE_hours,RMSE_hours,R2,replicate,model
190.13384040598976,411.29886692045545,0.0976309551971919,1,TPC_PLACEBO_SHUFFLED
193.12936647031682,421.13604840051056,0.05395020044847454,2,TPC_PLACEBO_SHUFFLED
188.95524972440433,410.88012360456446,0.09946742345050175,3,TPC_PLACEBO_SHUFFLED
192.06639913486555,413.270450619237,0.08895910929699669,4,TPC_PLACEBO_SHUFFLED
191.49731234187925,414.32516073566234,0.08430302908818355,5,TPC_PLACEBO_SHUFFLED
188.69036049979658,407.43975240453733,0.11448492086276651,6,TPC_PLACEBO_SHUFFLED
190.55874014678594,411.04909186984975,0.09872661022738705,7,TPC_PLACEBO_SHUFFLED
190.55022465362254,415.96040730487107,0.07706067259748717,8,TPC_PLACEBO_SHUFFLED
188.71868047133282,411.3568559111567,0.09737648739686622,9,TPC_PLACEBO_SHUFFLED
187.50467806688943,406.88167074966117,0.11690908917284715,10,TPC_PLACEBO_SHUFFLED
192.63991388258563,416.48822090442064,0.07471694474852852,11,TPC_PLACEBO_SHUFFLED
191.43396031492892,411.85212529048783,0.09520168030535192,12,TPC_PLACEBO_SHUFFLED
190.57077308407247,415.1753218248188,0.08054130420841832,13,TPC_PLACEBO_SHUFFLED
188.88838405350705,414.1489510243876,0.08508174301923066,14,TPC_PLACEBO_SHUFFLED
192.782746621149,414.8640319821942,0.08191956942533396,15,TPC_PLACEBO_SHUFFLED
190.42951676669247,409.7540903075293,0.10439655053063102,16,TPC_PLACEBO_SHUFFLED
189.30378388493241,411.14340570355694,0.09831297447407272,17,TPC_PLACEBO_SHUFFLED
189.4433694564994,403.95959200544195,0.12954762951319654,18,TPC_PLACEBO_SHUFFLED
187.71757134957477,410.2552097676175,0.10220460777203022,19,TPC_PLACEBO_SHUFFLED
187.925791071452,406.43202403902006,0.11885982593468492,20,TPC_PLACEBO_SHUFFLED
