sensitivity,model,MAE,RMSE,R2,n_train_rows,n_test_rows,n_train_students,n_test_students
full,M0_HISTORY,11.746142245115704,15.384421971459144,0.4848361336557614,34149,8514,10361,2591
full,M1_HISTORY_ACTIVITY,11.70085957699016,15.349056897087936,0.487201886253794,34149,8514,10361,2591
full,M2_HISTORY_ACTIVITY_PROFILE,11.633369011311004,15.223728072630422,0.4955419427960501,34149,8514,10361,2591
no_last_7d,M0_HISTORY,11.746142245115704,15.384421971459144,0.4848361336557614,34149,8514,10361,2591
no_last_7d,M1_HISTORY_ACTIVITY,11.70085957699016,15.349056897087936,0.487201886253794,34149,8514,10361,2591
no_last_7d,M2_HISTORY_ACTIVITY_PROFILE,11.648077189719716,15.256559069513012,0.4933638009887772,34149,8514,10361,2591
