MAE_hours,RMSE_hours,R2,replicate,model
189.8302209333242,412.4083790761316,0.09275596088182314,1,TPC_PLACEBO_SHUFFLED
190.90397708488896,417.7902498052699,0.06892264680136129,2,TPC_PLACEBO_SHUFFLED
189.22497183905236,411.2500506929812,0.09784514318545035,3,TPC_PLACEBO_SHUFFLED
191.84596968674958,413.7925385927258,0.0866558043602147,4,TPC_PLACEBO_SHUFFLED
192.06240266729483,414.85269279210496,0.081969755247427,5,TPC_PLACEBO_SHUFFLED
184.43846773297744,409.2529272146857,0.10658600473761948,6,TPC_PLACEBO_SHUFFLED
189.85094090409635,410.7929036031803,0.09984970583170738,7,TPC_PLACEBO_SHUFFLED
190.22749141547598,414.04014587049187,0.08556241426039513,8,TPC_PLACEBO_SHUFFLED
188.67322759798827,411.4522368636295,0.09695785782848187,9,TPC_PLACEBO_SHUFFLED
187.690224107337,406.5922959808756,0.11816475328754839,10,TPC_PLACEBO_SHUFFLED
191.88340280025298,418.5144662963425,0.06569190598647323,11,TPC_PLACEBO_SHUFFLED
191.7480617057619,410.8715760441141,0.09950489071226076,12,TPC_PLACEBO_SHUFFLED
190.72989577200573,415.1890327902354,0.0804805738428026,13,TPC_PLACEBO_SHUFFLED
188.26501362981656,412.05568591274573,0.0943070542292731,14,TPC_PLACEBO_SHUFFLED
191.53769054777678,417.13442875441876,0.07184344675686616,15,TPC_PLACEBO_SHUFFLED
188.89108225976435,407.4329859504676,0.11451433256018717,16,TPC_PLACEBO_SHUFFLED
189.2616218359347,409.9638093479571,0.10347954608092125,17,TPC_PLACEBO_SHUFFLED
187.09529889137684,403.1023494243864,0.13323808325120634,18,TPC_PLACEBO_SHUFFLED
187.99212194456572,408.6381218706407,0.10926827325216748,19,TPC_PLACEBO_SHUFFLED
184.241572026146,407.3179279146231,0.11501437973130091,20,TPC_PLACEBO_SHUFFLED
